508,Lil Peep ,Star Shopping,416,0.0,88,0,316621,1.02969266E8
783,Post Malone ,Spoil My Night,120,14.0,3,(x1),3318588,6.7636137E7
672,Rich The Kid ,Splashin,183,0.0,21,0,674282,7.9057026E7
235,Dan + Shay ,Speechless,662,0.0,67,0,373102,1.79301739E8
312,Beach House ,Space Song,549,0.0,55,0,434347,1.51348745E8
520,Metro Boomin ,Space Cadet,266,0.0,15,0,937419,1.01688152E8
868,Bryson Tiller ,Sorry Not Sorry,359,0.0,46,0,286638,6.0434896E7
241,Demi Lovato ,Sorry Not Sorry,379,35.0,6,0,1009557,1.77157747E8
165,Justin Bieber ,Sorry,466,131.0,1,(x53),1783498,2.22779216E8
323,Zach Bryan ,Something in the Orange,251,20.0,4,0,992100,1.46934063E8
299,The Chainsmokers ,Something Just Like This,364,29.0,2,(x2),1478265,1.56839599E8
31,Lewis Capaldi ,Someone You Loved,952,40.0,5,0,1118953,4.1072537E8
800,Morgan Wallen ,Somebody’s Problem,170,13.0,2,(x1),1344731,6.5697045E7
945,Young Stoner Life ,Solid,131,6.0,3,(x1),1643152,5.5875922E7
785,Clairo ,Sofia,215,0.0,25,0,501578,6.7460841E7
794,Taylor Swift ,Snow On The Beach,66,14.0,3,(x1),6719156,6.6545287E7
741,Drake ,Sneakin’,165,11.0,4,0,976423,7.1004017E7
647,Bruno Mars ,Smokin Out The Window,167,25.0,1,(x3),1963589,8.2228168E7
635,Juice WRLD ,Smile,196,21.0,2,(x4),1962238,8.4269938E7
880,Nirvana ,Smells Like Teen Spirit  Remastered,247,0.0,116,0,281143,5.9317872E7
905,Trey Songz ,Slow Motion,367,0.0,16,0,366481,5.8002051E7
499,Niall Horan ,Slow Hands,271,0.0,24,0,614747,1.05220848E8
200,Migos ,Slippery,477,0.0,17,0,701264,1.97966789E8
318,Calvin Harris ,Slide,281,15.0,8,0,967282,1.48615807E8
505,The Ronettes ,Sleigh Ride,188,1.0,10,0,2784468,1.04353068E8
441,Miguel ,Sky Walker,302,0.0,19,0,702194,1.16395947E8
455,Playboi Carti ,Sky,361,0.0,25,0,583880,1.13291304E8
216,Marshmello ,Silence,468,16.0,7,0,958742,1.89144242E8
990,Drake ,Signs,122,7.0,7,0,1048149,5.2311258E7
941,Harry Styles ,Sign of the Times,141,0.0,17,0,918584,5.6208852E7
374,Ariana Grande ,Side To Side,332,75.0,5,0,875628,1.34449731E8
531,WALK THE MOON ,Shut Up and Dance,480,49.0,5,0,499657,1.00209488E8
814,NLE Choppa ,Shotta Flow (Feat. Blueface) [Remix],154,0.0,18,0,611587,6.4529726E7
931,NLE Choppa ,Shotta Flow,172,0.0,43,0,485102,5.6536653E7
416,Playboi Carti ,Shoota,420,0.0,23,0,826235,1.22469617E8
258,Ed Sheeran ,Shivers,399,6.0,6,0,980767,1.73225595E8
983,SZA ,Shirt,62,6.0,8,0,1930964,5.3203148E7
972,J. Cole ,She Knows,218,0.0,69,0,323664,5.4059288E7
842,Cole Swindell ,She Had Me At Heads Carolina,179,0.0,33,0,476894,6.2230449E7
53,Ed Sheeran ,Shape of You,618,96.0,1,(x48),2156546,3.48283656E8
271,Lady Gaga ,Shallow,403,7.0,6,0,1310071,1.6788384E8
144,Shawn Mendes ,Señorita,400,77.0,1,(x26),1948638,2.36868842E8
623,Adele ,Send My Love (To Your New Lover),267,0.0,13,0,621087,8.5569483E7
793,Future ,Selfish,159,0.0,21,0,689625,6.6567231E7
759,PnB Rock ,Selfish,307,1.0,4,0,974217,6.9647971E7
429,Wiz Khalifa ,See You Again,452,85.0,1,(x26),995751,1.1913165E8
269,"Tyler The Creator ",See You Again,565,0.0,24,0,499844,1.68256802E8
601,Alessia Cara ,Scars To Your Beautiful,264,0.0,24,0,524903,8.8330659E7
895,Martin Garrix ,Scared to Be Lonely,153,0.0,17,0,617137,5.8399197E7
65,James Arthur ,Say You Won't Let Go,1083,0.0,14,0,664830,3.15132103E8
273,Doja Cat ,Say So,308,51.0,2,(x1),1262821,1.65898476E8
986,Tory Lanez ,Say It,283,0.0,33,0,321101,5.2744672E7
645,Flume ,Say It,269,0.0,22,0,510552,8.2337429E7
756,Khalid ,Saved,352,0.0,107,0,256160,6.9815909E7
373,The Weeknd ,Save Your Tears,327,8.0,2,(x1),1723905,1.34482363E8
135,The Weeknd ,Save Your Tears,692,49.0,2,(x4),1465508,2.4205567E8
526,Megan Thee Stallion ,Savage Remix,196,30.0,2,(x1),1772566,1.0076169E8
548,Jawsh 685 ,Savage Love (Laxed  Sired Beat),204,8.0,7,0,842470,9.7044129E7
792,Megan Thee Stallion ,Savage,147,22.0,8,0,876040,6.6785378E7
690,Lil Uzi Vert ,Sauce It Up,238,1.0,6,0,1051878,7.6926735E7
304,Khalid ,Saturday Nights,391,0.0,13,0,965483,1.54969059E8
226,Ariana Grande ,Santa Tell Me,348,26.0,5,0,2847060,1.82490361E8
843,The Jackson 5 ,Santa Claus Is Coming To Town,132,0.0,16,0,1761495,6.2212319E7
701,Eartha Kitt ,Santa Baby,189,0.0,22,0,1712483,7.5057398E7
292,Lil Uzi Vert ,Sanguine Paradise,382,30.0,6,0,1205774,1.60244733E8
379,Morgan Wallen ,Sand In My Boots,460,2.0,4,0,1020974,1.32664367E8
721,Selena Gomez ,Same Old Love,226,15.0,9,0,538465,7.3255863E7
726,Post Malone ,SaintTropez,111,25.0,2,(x4),3330184,7.2506541E7
1000,Bad Bunny ,Safaera,151,0.0,30,0,769149,5.161277E7
625,BROCKHAMPTON ,SUGAR,224,0.0,21,0,768037,8.5393131E7
448,Travis Scott ,STARGAZING,225,21.0,1,(x1),4244308,1.14669162E8
903,The Kid LAROI ,SO DONE,158,0.0,12,0,710839,5.8029449E7
27,Joji ,SLOW DANCING IN THE DARK,1496,0.0,26,0,661274,4.37333177E8
13,Travis Scott ,SICKO MODE,1046,190.0,1,(x19),4129691,5.86638599E8
9,XXXTENTACION ,SAD!,1217,133.0,1,(x6),4437612,6.19879245E8
282,Kate Bush ,Running Up That Hill (A Deal With God),182,98.0,1,(x30),2430143,1.63034803E8
677,21 Savage ,Runnin,203,10.0,1,(x1),2166325,7.8639389E7
549,Chuck Berry ,Run Rudolph Run  Single Version,228,0.0,13,0,2106577,9.6924483E7
663,YBN Nahmir ,Rubbin Off The Paint,263,0.0,47,0,480042,7.9621979E7
192,SAINt JHN ,Roses  Imanbek Remix,431,47.0,5,0,1009144,2.01135462E8
236,The Chainsmokers ,Roses,520,94.0,5,0,772979,1.78699372E8
458,d4vd ,Romantic Homicide,149,48.0,2,(x1),1061087,1.12839982E8
864,Calvin Harris ,Rollin,138,0.0,14,0,805408,6.0647021E7
212,Kodak Black ,Roll In Peace,518,0.0,21,0,985417,1.92647458E8
662,Ayo & Teo ,Rolex,271,0.0,31,0,530153,8.0064354E7
997,Lil Nas X ,Rodeo,104,10.0,7,0,1196792,5.1788566E7
97,Brenda Lee ,Rockin' Around The Christmas Tree,340,113.0,1,(x30),5771662,2.76529912E8
732,Clean Bandit ,Rockabye,242,0.0,26,0,491930,7.1984836E7
617,Bailey Zimmerman ,Rock and A Hard Place,201,0.0,22,0,651464,8.6200828E7
25,Juice WRLD ,Robbery,1086,38.0,2,(x2),1724447,4.43773199E8
901,Eminem ,River,121,7.0,2,(x4),1167659,5.8089002E7
401,Vance Joy ,Riptide,753,0.0,12,0,273070,1.26349492E8
319,Juice WRLD ,Righteous,333,24.0,2,(x6),2690579,1.48152203E8
178,Twenty One Pilots ,Ride,708,65.0,4,0,824424,2.07848346E8
542,Drake ,Rich Flex,55,43.0,1,(x28),5389787,9.7928728E7
735,Post Malone ,Rich & Sad,144,11.0,5,0,3071762,7.166334E7
29,Offset ,Ric Flair Drip (& Metro Boomin),1065,86.0,4,0,1040394,4.27614856E8
421,XXXTENTACION ,Revenge,412,0.0,16,0,1119765,1.20698497E8
